timestamp,epoch,train_loss,val_loss,train_r2,val_r2,lr
2025-12-25T20:16:55.073484,0,1.125880,0.973013,-0.143068,-0.013044,0.000092
2025-12-25T20:16:58.239611,1,1.012162,0.962349,-0.030998,-0.003306,0.000127
2025-12-25T20:17:01.386214,2,0.992184,0.961185,-0.011412,-0.002387,0.000186
2025-12-25T20:17:04.499276,3,0.985077,0.960285,-0.004442,-0.001462,0.000265
2025-12-25T20:17:07.640762,4,0.979407,0.958461,0.001185,0.000526,0.000364
2025-12-25T20:17:10.756035,5,0.966793,0.950969,0.013863,0.008390,0.000479
2025-12-25T20:17:13.884597,6,0.944674,0.929443,0.035988,0.030663,0.000609
2025-12-25T20:17:17.035434,7,0.932655,0.902890,0.047965,0.057706,0.000749
2025-12-25T20:17:20.136987,8,0.920362,0.899774,0.060212,0.060754,0.000897
2025-12-25T20:17:23.335013,9,0.913061,0.939338,0.067502,0.019840,0.001048
2025-12-25T20:17:27.384703,10,0.899466,0.882828,0.081100,0.077620,0.001198
2025-12-25T20:17:31.775449,11,0.888644,0.868729,0.091943,0.091783,0.001345
2025-12-25T20:17:36.189773,12,0.881915,0.859727,0.098659,0.100534,0.001485
2025-12-25T20:17:40.614769,13,0.885823,1.116314,0.094752,-0.163808,0.001613
2025-12-25T20:17:44.946286,14,0.851496,1.302283,0.129067,-0.286994,0.001727
2025-12-25T20:17:49.215675,15,0.840351,1.359335,0.140201,-0.298672,0.001824
2025-12-25T20:17:53.512778,16,0.829699,0.822572,0.150843,0.137922,0.001901
2025-12-25T20:17:57.921245,17,0.823879,0.810862,0.156659,0.149187,0.001957
2025-12-25T20:18:02.323706,18,0.818440,1.028105,0.162096,-0.073503,0.001990
2025-12-25T20:18:06.607695,19,0.812083,1.076887,0.168449,-0.123759,0.002000
2025-12-25T20:18:10.914882,20,0.798843,1.037402,0.181686,-0.082370,0.002000
2025-12-25T20:18:15.234860,21,0.793583,1.323932,0.186947,-0.275258,0.001999
2025-12-25T20:18:19.562326,22,0.787491,0.859304,0.193036,0.100603,0.001999
2025-12-25T20:18:23.884623,23,0.780030,0.774065,0.200494,0.186653,0.001997
2025-12-25T20:18:28.271639,24,0.782368,0.803439,0.198158,0.157664,0.001996
2025-12-25T20:18:32.230969,25,0.771195,0.770517,0.209329,0.190789,0.001994
2025-12-25T20:18:36.044868,26,0.765626,0.846952,0.214896,0.113732,0.001992
2025-12-25T20:18:40.311579,27,0.783089,0.808638,0.197428,0.151898,0.001990
2025-12-25T20:18:44.607788,28,0.767787,0.857914,0.212731,0.103055,0.001987
2025-12-25T20:18:48.906991,29,0.757188,0.818634,0.223331,0.141877,0.001985
2025-12-25T20:18:53.238464,30,0.750697,0.803001,0.229819,0.158001,0.001981
2025-12-25T20:18:57.543834,31,0.745588,0.842049,0.234929,0.117065,0.001978
2025-12-25T20:19:01.839463,32,0.744122,0.814482,0.236393,0.145571,0.001974
2025-12-25T20:19:06.137296,33,0.747535,0.818068,0.232979,0.141694,0.001970
2025-12-25T20:19:10.430742,34,0.736090,0.784565,0.244425,0.176110,0.001965
2025-12-25T20:19:13.721606,35,0.729205,0.716208,0.251308,0.244440,0.001961
2025-12-25T20:19:18.111532,36,0.723972,0.743402,0.256541,0.216935,0.001956
2025-12-25T20:19:22.373011,37,0.723226,0.738396,0.257285,0.222417,0.001951
2025-12-25T20:19:26.654847,38,0.722287,0.828693,0.258224,0.133474,0.001945
2025-12-25T20:19:30.924032,39,0.718421,0.735857,0.262090,0.224395,0.001939
2025-12-25T20:19:35.219200,40,0.714521,0.725244,0.265989,0.235344,0.001933
2025-12-25T20:19:39.540457,41,0.708221,0.716732,0.272288,0.242949,0.001927
2025-12-25T20:19:43.849617,42,0.714734,0.717574,0.265775,0.242485,0.001920
2025-12-25T20:19:48.156997,43,0.720086,0.727294,0.260421,0.233009,0.001913
2025-12-25T20:19:51.997608,44,0.713109,0.741474,0.267399,0.218649,0.001906
2025-12-25T20:19:55.899239,45,0.702603,0.739601,0.277905,0.220684,0.001898
2025-12-25T20:20:00.217627,46,0.702274,0.741853,0.278233,0.217892,0.001890
2025-12-25T20:20:04.529370,47,0.698178,0.716994,0.282329,0.242902,0.001882
2025-12-25T20:20:08.812285,48,0.696990,0.754174,0.283517,0.206798,0.001874
2025-12-25T20:20:13.133238,49,0.696716,0.716634,0.283792,0.243183,0.001865
2025-12-25T20:20:17.433201,50,0.685295,0.687773,0.295212,0.271456,0.001856
2025-12-25T20:20:21.817112,51,0.680194,0.697658,0.300313,0.260949,0.001847
2025-12-25T20:20:26.151382,52,0.680238,0.736017,0.300268,0.223850,0.001838
2025-12-25T20:20:30.455938,53,0.676894,0.686290,0.303613,0.273342,0.001828
2025-12-25T20:20:34.137084,54,0.674144,0.689943,0.306362,0.269325,0.001818
2025-12-25T20:20:38.467245,55,0.663387,0.741878,0.317119,0.216651,0.001808
2025-12-25T20:20:42.735588,56,0.659491,0.697684,0.321015,0.260608,0.001798
2025-12-25T20:20:47.029424,57,0.659475,0.685770,0.321030,0.273124,0.001787
2025-12-25T20:20:51.287355,58,0.654664,0.725783,0.325841,0.232596,0.001776
2025-12-25T20:20:55.578681,59,0.651803,0.698488,0.328701,0.259539,0.001765
2025-12-25T20:20:59.897265,60,0.649968,0.686459,0.330535,0.271941,0.001754
2025-12-25T20:21:04.126054,61,0.648735,0.686905,0.331768,0.272951,0.001742
2025-12-25T20:21:08.396076,62,0.653395,0.662610,0.327108,0.295473,0.001730
2025-12-25T20:21:11.899201,63,0.645961,0.675296,0.334542,0.283346,0.001718
2025-12-25T20:21:16.014988,64,0.640218,0.663643,0.340285,0.295094,0.001706
2025-12-25T20:21:20.298425,65,0.639529,0.680105,0.340974,0.278580,0.001693
2025-12-25T20:21:24.616364,66,0.636999,0.662990,0.343503,0.295231,0.001681
2025-12-25T20:21:28.891816,67,0.640000,0.672866,0.340502,0.285632,0.001668
2025-12-25T20:21:33.193108,68,0.672211,0.721506,0.308289,0.237610,0.001655
2025-12-25T20:21:37.544566,69,0.673504,0.679580,0.306996,0.278834,0.001641
2025-12-25T20:21:41.867325,70,0.651203,0.658004,0.329298,0.299215,0.001628
2025-12-25T20:21:46.248171,71,0.638484,0.648038,0.342016,0.308648,0.001614
2025-12-25T20:21:50.317642,72,0.635389,0.682006,0.345111,0.275012,0.001600
2025-12-25T20:21:55.661386,73,0.628504,0.668593,0.351997,0.288560,0.001586
2025-12-25T20:21:59.969124,74,0.628919,0.662010,0.351582,0.295706,0.001572
2025-12-25T20:22:04.293721,75,0.624339,0.649318,0.356160,0.307552,0.001558
2025-12-25T20:22:08.555744,76,0.623408,0.710919,0.357093,0.248537,0.001543
2025-12-25T20:22:12.847118,77,0.620686,0.766021,0.359814,0.190615,0.001528
2025-12-25T20:22:17.132966,78,0.618784,0.669038,0.361716,0.287251,0.001514
2025-12-25T20:22:21.414428,79,0.616772,0.649974,0.363728,0.305839,0.001499
2025-12-25T20:22:25.675602,80,0.616057,0.649332,0.364442,0.306040,0.001483
2025-12-25T20:22:29.527460,81,0.614798,0.646612,0.365702,0.308235,0.001468
2025-12-25T20:22:33.390771,82,0.610876,0.644039,0.369624,0.311424,0.001452
2025-12-25T20:22:37.753196,83,0.613271,0.644256,0.367227,0.311624,0.001437
2025-12-25T20:22:42.103392,84,0.612082,0.659430,0.368416,0.297769,0.001421
2025-12-25T20:22:46.354997,85,0.609609,0.638413,0.370889,0.317596,0.001405
2025-12-25T20:22:50.698841,86,0.607892,0.633977,0.372606,0.321183,0.001389
2025-12-25T20:22:55.075677,87,0.600720,0.637937,0.379778,0.317178,0.001373
2025-12-25T20:22:59.333126,88,0.604752,0.631214,0.375746,0.324142,0.001357
2025-12-25T20:23:03.705701,89,0.602278,0.636166,0.378220,0.319519,0.001340
2025-12-25T20:23:07.985530,90,0.596912,0.636463,0.383585,0.318368,0.001324
2025-12-25T20:23:12.276125,91,0.596563,0.627836,0.383934,0.326339,0.001307
2025-12-25T20:23:16.637310,92,0.598347,0.632513,0.382150,0.322779,0.001291
2025-12-25T20:23:20.911954,93,0.599402,0.629977,0.381095,0.325264,0.001274
2025-12-25T20:23:25.196729,94,0.592971,0.636625,0.387525,0.317732,0.001257
2025-12-25T20:23:29.469743,95,0.591708,0.629683,0.388789,0.324533,0.001240
2025-12-25T20:23:33.748436,96,0.589142,0.630134,0.391355,0.323966,0.001223
2025-12-25T20:23:38.015965,97,0.589341,0.625409,0.391156,0.328504,0.001206
2025-12-25T20:23:42.390477,98,0.583935,0.627513,0.396562,0.326745,0.001189
