timestamp,epoch,train_loss,val_loss,train_r2,val_r2,lr
2025-12-25T21:03:01.159015,0,1.341053,1.085190,-0.341053,-0.063223,0.000023
2025-12-25T21:03:03.976744,1,1.158755,1.055814,-0.158755,-0.033722,0.000032
2025-12-25T21:03:06.785783,2,1.085734,1.036027,-0.085734,-0.012855,0.000046
2025-12-25T21:03:09.583525,3,1.040938,1.027672,-0.040938,-0.004464,0.000066
2025-12-25T21:03:12.360106,4,1.014551,1.022603,-0.014551,0.000535,0.000091
2025-12-25T21:03:15.175856,5,0.997487,1.012892,0.002513,0.010619,0.000120
2025-12-25T21:03:17.969192,6,0.976049,0.982205,0.023951,0.042589,0.000152
2025-12-25T21:03:20.774921,7,0.944266,0.933496,0.055735,0.093413,0.000187
2025-12-25T21:03:23.605183,8,0.907699,0.905312,0.092301,0.122862,0.000224
2025-12-25T21:03:26.435778,9,0.881780,0.876234,0.118220,0.153043,0.000262
2025-12-25T21:03:29.273844,10,0.859612,1.054861,0.140388,-0.033707,0.000300
2025-12-25T21:03:31.983898,11,0.841089,0.849644,0.158911,0.180536,0.000336
2025-12-25T21:03:34.773839,12,0.843492,0.870339,0.156508,0.159129,0.000371
2025-12-25T21:03:37.530097,13,0.819252,0.826648,0.180748,0.203953,0.000403
2025-12-25T21:03:40.341828,14,0.799150,0.797579,0.200850,0.233499,0.000432
2025-12-25T21:03:43.142857,15,0.773320,0.767354,0.226680,0.264764,0.000456
2025-12-25T21:03:45.922363,16,0.779424,0.767461,0.220576,0.264708,0.000475
2025-12-25T21:03:48.657778,17,0.735350,0.809544,0.264650,0.220707,0.000489
2025-12-25T21:03:51.404063,18,0.749541,0.764666,0.250459,0.267263,0.000498
2025-12-25T21:03:54.235699,19,0.713823,0.732024,0.286177,0.300875,0.000500
2025-12-25T21:03:57.074385,20,0.693961,0.717470,0.306039,0.315888,0.000500
2025-12-25T21:03:59.869201,21,0.687226,0.754340,0.312774,0.277969,0.000500
2025-12-25T21:04:02.587501,22,0.672495,0.729579,0.327505,0.303038,0.000500
2025-12-25T21:04:05.336702,23,0.653785,0.731241,0.346215,0.300706,0.000499
2025-12-25T21:04:08.029284,24,0.646583,0.702688,0.353417,0.330294,0.000499
2025-12-25T21:04:10.834310,25,0.635904,0.651675,0.364096,0.383393,0.000499
2025-12-25T21:04:13.666086,26,0.619002,0.675277,0.380998,0.358291,0.000498
2025-12-25T21:04:16.411518,27,0.618441,0.628223,0.381559,0.407024,0.000498
2025-12-25T21:04:19.252153,28,0.611603,0.655575,0.388397,0.378880,0.000497
2025-12-25T21:04:21.967834,29,0.602287,0.669049,0.397713,0.365745,0.000496
2025-12-25T21:04:24.691190,30,0.603079,0.650375,0.396921,0.383680,0.000495
2025-12-25T21:04:27.402103,31,0.591333,0.775614,0.408667,0.255342,0.000494
2025-12-25T21:04:30.104987,32,0.583356,0.605713,0.416644,0.430480,0.000493
2025-12-25T21:04:32.891722,33,0.575499,0.631857,0.424501,0.403481,0.000492
2025-12-25T21:04:35.586951,34,0.574226,0.609090,0.425774,0.426756,0.000491
2025-12-25T21:04:38.317340,35,0.570694,0.661868,0.429306,0.372214,0.000490
2025-12-25T21:04:41.015143,36,0.562830,0.621887,0.437170,0.412662,0.000489
2025-12-25T21:04:43.736442,37,0.555787,0.625347,0.444213,0.409716,0.000488
2025-12-25T21:04:46.454444,38,0.552903,0.614099,0.447097,0.420886,0.000486
2025-12-25T21:04:49.180657,39,0.557265,0.649517,0.442735,0.384660,0.000485
2025-12-25T21:04:51.927209,40,0.552170,0.641567,0.447830,0.392932,0.000483
2025-12-25T21:04:54.632616,41,0.546595,0.632489,0.453405,0.402729,0.000482
2025-12-25T21:04:57.355475,42,0.543937,0.614655,0.456063,0.420759,0.000480
2025-12-25T21:05:00.110616,43,0.542651,0.590293,0.457349,0.445886,0.000478
