timestamp,epoch,train_loss,val_loss,train_r2,val_r2,lr
2025-12-25T20:02:06.116781,0,0.913941,0.839393,0.066776,0.121072,0.000013
2025-12-25T20:02:34.423027,1,0.850291,0.811228,0.130320,0.149584,0.000015
2025-12-25T20:03:02.786185,2,0.813150,0.774986,0.167433,0.186059,0.000019
2025-12-25T20:03:30.915375,3,0.788160,0.765987,0.192405,0.194959,0.000024
2025-12-25T20:03:59.234599,4,0.767659,0.743546,0.212893,0.217284,0.000031
2025-12-25T20:04:28.602148,5,0.755642,0.741653,0.224897,0.219212,0.000040
2025-12-25T20:04:59.318997,6,0.741497,0.730891,0.239035,0.229337,0.000049
2025-12-25T20:05:27.714616,7,0.727921,0.742264,0.252604,0.218007,0.000060
2025-12-25T20:05:53.949341,8,0.717417,0.706250,0.263103,0.253638,0.000071
2025-12-25T20:06:22.425073,9,0.707493,0.691997,0.273021,0.267035,0.000084
2025-12-25T20:06:50.721302,10,0.697104,0.697972,0.283409,0.260187,0.000097
2025-12-25T20:07:17.072055,11,0.684321,0.686938,0.296189,0.272240,0.000112
2025-12-25T20:07:46.263188,12,0.676045,0.684895,0.304463,0.273266,0.000126
2025-12-25T20:08:14.408044,13,0.668326,0.677378,0.312181,0.280173,0.000141
2025-12-25T20:08:42.740499,14,0.663477,0.689279,0.317027,0.267613,0.000156
2025-12-25T20:09:59.795956,15,0.653026,0.672187,0.327476,0.283790,0.000171
2025-12-25T20:10:35.620482,16,0.647964,0.669687,0.332536,0.289113,0.000186
2025-12-25T20:11:18.157872,17,0.639363,0.649623,0.341135,0.305905,0.000201
2025-12-25T20:12:00.547746,18,0.628489,0.661417,0.352008,0.300451,0.000215
2025-12-25T20:12:39.095100,19,0.622066,0.687473,0.358430,0.270081,0.000228
